type,state,timeStamp,Ax,Ay,Az,Gx,Gy,Gz
tail,0,1592196520898,11640,3632,12148,-1808,-283,252
tail,0,1592196520947,11344,4120,11932,-1824,188,91
tail,0,1592196520996,11304,4160,12060,-1824,-219,369
tail,0,1592196521050,11404,3988,12220,-1840,273,764
tail,0,1592196521096,11268,4060,12240,-1808,-308,242
tail,0,1592196521148,11308,3972,12224,-1824,-452,-5
tail,0,1592196521202,11436,4104,12316,-1840,-562,99
tail,0,1592196521248,11464,4092,12212,-1840,-396,48
tail,0,1592196521299,11260,4100,12220,-1840,-344,68
tail,0,1592196521346,11144,3852,12184,-1808,-183,-71
tail,0,1592196521400,11284,4096,12092,-1872,-207,3
tail,0,1592196521448,11408,3864,12432,-1856,-280,176
tail,0,1592196521499,11420,3884,12232,-1840,-167,129
tail,0,1592196521548,11264,4164,12116,-1840,-317,120
tail,0,1592196521602,11372,4044,12224,-1824,-437,66
tail,0,1592196521648,11356,4072,12116,-1824,-439,214
tail,0,1592196521696,11440,4076,12232,-1808,-408,136
tail,0,1592196521747,11296,4184,12076,-1808,-330,-59
tail,0,1592196521827,11220,3940,12080,-1840,-365,170
tail,0,1592196521847,11404,3980,12120,-1840,-419,230
tail,0,1592196521897,11372,4116,12320,-1840,-446,194
tail,0,1592196521947,11244,4060,12192,-1824,-329,259
tail,0,1592196521998,11296,4124,12204,-1824,-259,-22
tail,0,1592196522048,11312,4244,12172,-1872,-302,5
tail,0,1592196522097,11336,4064,12164,-1824,-286,37
tail,0,1592196522148,11268,4048,12124,-1824,-174,99
tail,0,1592196522207,11284,3964,12196,-1856,-243,120
tail,0,1592196534108,14136,5540,8452,-1840,-266,359
tail,0,1592196534158,13772,5384,8484,-1808,-253,23
tail,0,1592196534207,13632,5588,8340,-1824,-338,158
tail,0,1592196534260,13840,5480,8500,-1856,-299,137
tail,0,1592196534315,13852,5420,8524,-1840,-215,149
tail,0,1592196534368,13692,5476,8512,-1840,-311,152
tail,0,1592196534407,13784,5392,8548,-1840,-221,5
tail,0,1592196534458,13692,5476,8376,-1808,-534,279
tail,0,1592196534507,13912,5408,8524,-1824,-276,66
tail,0,1592196534558,13704,5332,8588,-1824,209,120
tail,0,1592196534608,13856,5468,8724,-1824,997,495
tail,0,1592196534658,13948,5020,9652,-1824,3608,1445
tail,0,1592196534708,13764,5524,9140,-1824,3368,1760
tail,0,1592196534758,12652,5072,9744,-1824,17121,6435
tail,0,1592196534809,14608,2524,11936,-1840,32767,5021
tail,0,1592196534858,13992,7856,1824,-1808,32767,6689
tail,0,1592196534908,13312,8436,2416,-1840,23784,2196
tail,0,1592196534960,15128,7748,5056,-1808,21183,1177
tail,0,1592196535016,13964,8500,1748,-1808,9296,2322
tail,0,1592196535058,13716,9164,408,-1856,-392,-1525
tail,0,1592196535112,13944,8044,1128,-1856,-22211,-4459
tail,0,1592196535158,17192,5812,7480,-1872,-6895,-2116
tail,0,1592196535207,13388,8140,2456,-1808,-61,375
tail,0,1592196535459,14372,7704,3256,-1808,-2472,-659
tail,0,1592196535459,15108,7888,3188,-1808,1289,1034
tail,0,1592196535459,14800,8208,2332,-1824,-2665,146
tail,0,1592196535459,14468,7116,5256,-1824,-961,113
tail,0,1592196535463,13672,8052,2704,-1856,-1744,1144
tail,0,1592196535522,15312,8696,976,-1840,-9030,-237
tail,0,1592196535566,15744,5904,8996,-1856,-4803,1375
tail,0,1592196535613,13196,8060,3444,-1824,-40,2414
tail,0,1592196535756,14960,7576,4988,-1808,-84,827
tail,0,1592196535756,14248,7508,4844,-1808,-855,565
tail,0,1592196535764,14632,7516,4320,-1840,-1499,1305
tail,0,1592196535816,13936,7560,5076,-1840,-323,3231
tail,0,1592196535862,15080,7588,4072,-1856,-2435,3052
tail,0,1592196535922,14032,6580,5772,-1824,-8601,1168
tail,0,1592196535963,15708,5868,6712,-1824,-2786,5614
tail,0,1592196536018,14096,5732,6596,-1824,-2972,5328
tail,0,1592196536060,12636,3880,11168,-1840,-8175,16121
tail,0,1592196536110,12016,4892,8808,-1824,-1696,13877
tail,0,1592196536159,12992,4212,8932,-1808,-3901,18302
tail,0,1592196536210,8076,2160,15084,-1840,-5504,19918
tail,0,1592196536259,9160,2100,13352,-1808,-3928,9034
tail,0,1592196536310,10676,1828,14008,-1808,-6698,9812
tail,0,1592196536359,8960,524,15660,-1840,785,2815
tail,0,1592196536410,7960,432,15492,-1824,-1731,4010
tail,0,1592196536460,7852,672,14940,-1824,-2361,3940
tail,0,1592196536512,7340,20,15540,-1856,-2691,3664
tail,0,1592196536559,7508,-140,15264,-1824,-2307,4225
tail,0,1592196536610,6412,-1008,16648,-1808,-173,3906
tail,0,1592196536660,5964,-312,15436,-1824,-867,2873
tail,0,1592196536713,5768,-476,15424,-1808,-1724,1964
tail,0,1592196536827,4648,-1812,17748,-1808,-311,-3
tail,0,1592196536827,5492,-344,15676,-1808,1640,-2166
tail,0,1592196536882,6580,24,14872,-1808,-1519,-1179
tail,0,1592196536913,7244,-604,15672,-1840,-1682,828
tail,0,1592196536967,6344,-820,15828,-1808,-301,808
tail,0,1592196537010,6356,-792,16184,-1808,-972,1154
tail,0,1592196537059,5808,-612,15296,-1824,-1246,798
tail,0,1592196537109,6796,-792,15740,-1824,1416,2086
tail,0,1592196537164,5768,-828,16340,-1792,-548,1134
tail,0,1592196537211,4908,-1144,16568,-1824,-1221,136
tail,0,1592196537259,5268,-836,15816,-1840,-1561,355
tail,0,1592196537309,6224,-880,15776,-1840,278,-104
tail,0,1592196537358,5500,-860,15764,-1840,-798,792
tail,0,1592196537409,5620,-1364,16436,-1808,-220,261
tail,0,1592196537459,5460,-1152,16232,-1808,-649,231
tail,0,1592196537509,5712,-1300,16092,-1856,-560,358
tail,0,1592196537561,4976,-1072,16228,-1824,-862,533
tail,0,1592196537609,5476,-1180,16132,-1824,61,473
tail,0,1592196537665,5656,-1092,16076,-1824,-742,96
tail,0,1592196537726,5216,-1304,16500,-1840,-407,638
tail,0,1592196537759,5296,-1112,16172,-1808,54,119
tail,0,1592196537812,5176,-1176,16376,-1808,-599,480
tail,0,1592196537860,5156,-980,15972,-1840,25,49
tail,0,1592196537915,5364,-1196,16200,-1792,-435,507
tail,0,1592196537959,5216,-1204,16124,-1840,-382,386
tail,0,1592196538014,5268,-1072,16064,-1824,-541,609
tail,0,1592196538071,4984,-1192,16328,-1824,-552,270
tail,0,1592196538147,5252,-1236,16248,-1824,-351,145
tail,0,1592196538179,5080,-1164,16276,-1840,-845,330
tail,0,1592196538223,5064,-1340,16564,-1808,-368,-51
tail,0,1592196538260,5048,-1360,16428,-1808,-367,-101
tail,0,1592196538310,5216,-1060,15704,-1792,-853,-347
tail,0,1592196538359,5324,-1428,16364,-1824,-1770,-10
tail,0,1592196538411,5404,-1256,15908,-1824,-1458,294
tail,0,1592196538460,4808,-1796,16616,-1824,-7023,-476
tail,0,1592196538515,4916,-2228,16000,-1824,-5569,258
tail,0,1592196538567,5352,-3056,15924,-1872,-11732,-339
tail,0,1592196538610,4940,-4536,16568,-1808,-4005,-853
tail,0,1592196538661,5396,-3536,15012,-1808,-1991,-1075
tail,0,1592196538729,5532,-5048,16704,-1856,-73,-2742
tail,0,1592196538761,5968,-3124,14092,-1824,-3523,-3513
tail,0,1592196538813,6900,-4524,15296,-1824,-5433,-2692
tail,0,1592196538860,6956,-4632,15104,-1824,-1086,-2026
tail,0,1592196538910,7088,-5016,15104,-1840,-832,-1740
tail,0,1592196538960,7708,-4736,14692,-1808,154,-440
tail,0,1592196539012,7092,-4668,14568,-1808,-672,-120
tail,0,1592196539061,7552,-4760,15072,-1808,-557,-1197
tail,0,1592196539127,7500,-4928,14800,-1856,-387,-366
tail,0,1592196539192,7868,-4572,14444,-1824,261,82
tail,0,1592196539222,7432,-4624,14428,-1824,-931,448
tail,0,1592196539259,7164,-4928,14836,-1840,-831,598
